ชื่อ - สกุล,ปี จัดแข่งขัน,รายการ,ประเภท,ตำแหน่ง,สังกัด
ณัฐชยา สุวรรณสาโรจน์,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน  17 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล C
ณัฐฐาพร ตันตรงภักดิ์,2567,M - Sport Hopes & Kids Table Tennis Club Championships 2024,ประเภททีมยุวชนหญิงอายุไม่เกิน 9 ปี,ตำแหน่งที่ 3,สโมสรกีฬาบีบีจี
ณัฐดนัย ปฐมโยธิน,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทชายเดี่ยวจำกัดมือ,รองชนะเลิศ,ปิงปองเทรนนิ่งพระรามสาม
ณัฐธเดชน์ วรกุลณัฐคมน์,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 40 – 49 ปี,ตำแหน่งที่ 3,ITC GLOBAL M40M
ณัฐธเดชน์ วรกุลณัฐคมน์,2565,Chonburi PAO Table Tennis Open 2022,ประเภทชายเดี่ยวอายุ 40 ปีขึ้นไป,ตำแหน่งที่ 3,ITC GLOBAL
ณัฐธยาน์ วันทนียกุล,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ณัฐธยาน์ วันทนียกุล,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน  17 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ณัฐนนท์ เมนะสินธุ์,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนชายอายุไม่เกิน   13 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ณัฐนนท์ เมนะสินธุ์,2564,King Cup 2021,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐนิชา แซ่ลี้,2565,Hopes And Kids 2022 Circuit 2,ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,มหาวิทยาลัยธนบุรี
ณัฐพงศ์ เอกมนสิการ,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมชายทั่วไป,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ A
ณัฐพงศ์ เอกมนสิการ,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมชายทั่วไป,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ A
ณัฐพล เดชสิทธิชัย,2567,SPRC - CALTEX SUPER CUP 2024,ประเภทชายเดี่ยวจำกัดมือ,ตำแหน่งที่ 3,YASAKA THAILAND
ณัฐพัชญ์ จาริกสกุลชัย,2567,M - Sport Hopes & Kids Table Tennis Club Championships 2024,ประเภททีมยุวชนหญิงอายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,Spinning Star A
ณัฐพัชญ์ จาริกสกุลชัย,2567,Hopes And Kids 2024 Circuit 2,ประเภทยุวชนหญิงคู่อายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,Spinning Star
ณัฐพัชร์ ลิ้มศิริเลิศ,2568,CHIANG RAI OPEN 2025,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,Pin Academy
ณัฐพัชร์ ลิ้มศิริเลิศ,2567,King Cup 2024,ประเภทเยาวชนหญิงคู่อายุไม่เกิน 11  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐพัชร์ ลิ้มศิริเลิศ,2567,M - Sport Hopes & Kids Table Tennis Club Championships 2024,ประเภททีมยุวชนหญิงอายุไม่เกิน 11 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ณัฐพัชร์ ลิ้มศิริเลิศ,2567,Hopes And Kids 2024 Circuit 1,ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐพัชร์ ลิ้มศิริเลิศ,2567,Hopes And Kids 2024 Circuit 2,ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐพัชร์ ลิ้มศิริเลิศ,2567,Chonburi PAO Table Tennis Open 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐพัชร์ ลิ้มศิริเลิศ,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,ตำแหน่งที่ 3,Pin Academy
ณัฐพัชร์ ลิ้มศิริเลิศ,2567,Xuperman Loei Table Tennis Open 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,ตำแหน่งที่ 3,Pin Academy
ณัฐพัชร์ ลิ้มศิริเลิศ,2566,Hope And Kid 2023 Circuit 1,ประเภทยุวชนหญิงคู่อายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐภัทร คล้ายโพธิ์ศรี,2568,CHIANG RAI OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 19 ปี ,ตำแหน่งที่ 3,CMU
ณัฐภัทร สุขแพทย์,2568,All Thailand 2025 Circuit 1,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐภัทร สุขแพทย์,2567,SPRC - CALTEX SUPER CUP 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,Pin Academy
ณัฐวรา คชลณ,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนหญิงอายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ BBG
ณัฐวรา คชลณ,2567,M - Sport Hopes & Kids Table Tennis Club Championships 2024,ประเภททีมยุวชนหญิงอายุไม่เกิน 9 ปี,รองชนะเลิศ,เมืองทอง B
ณัฐวรา คชลณ,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 9 ปี ,รองชนะเลิศ,MLP CLUB
ณัฐวรา คชลณ,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 9 ปี ,ตำแหน่งที่ 3,MLP CLUB
ณัฐวรา คชลณ,2566,Hope And Kid 2023 Circuit 1,ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 9 ปี,ตำแหน่งที่ 3,โคราชวิทยา
ณัฐวรา คชลณ,2566,Hope And Kid 2023 Circuit 2,ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 9 ปี,ตำแหน่งที่ 3,โคราชวิทยา
ณัฐวรา คชลณ,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 9 ปี ,ตำแหน่งที่ 3,มหาวิทยาลัยธนบุรี
ณัฐวัชร์ อ่วมสอาด,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนชายอายุไม่เกิน 19  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
ณัฐวัฒน์ โพธิ์นอก,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนชายอายุไม่เกิน   15 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ A
ณัฐวีณ์ คงดี,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 60 – 64 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ M604
ณัฐวุฒิ อ่อนหร่ม,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทชายเดี่ยว จำกัดมือ,รองชนะเลิศ,สโมสรปิงปองมะยม
ณัฐสิมา ดีแกง,2568,SET Table Tennis Club Championships 2025,ประเภททีมหญิงทั่วไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
ณัฐสิมา ดีแกง,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ณัฐสิมา ดีแกง,2568,All Thailand 2025 Circuit 1,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2568,All Thailand 2025 Circuit 2,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2568,All Thailand 2025 Circuit 2,ประเภทหญิงคู่,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2568,All Thailand 2025 Circuit 3,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2568,All Thailand 2025 Circuit 3,ประเภทหญิงคู่,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2567,SET Table Tennis Club Championships 2024,ประเภททีมหญิงทั่วไป,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ณัฐสิมา ดีแกง,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ณัฐสิมา ดีแกง,2567,All Thailand2024 Circuit 1,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2567,All Thailand2024 Circuit 1,ประเภทหญิงเดี่ยวทั่วไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2567,All Thailand2024 Circuit 1,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2567,All Thailand 2024 Circuit 2,ประเภทหญิงคู่,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2567,All Thailand 2024 Circuit 2,ประเภทหญิงเดี่ยวทั่วไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2567,All Thailand 2024 Circuit 2,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2567,All Thailand 2024 Circuit 3,ประเภทหญิงคู่,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2567,All Thailand 2024 Circuit 3,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทหญิงเดี่ยวทั่วไป,ตำแหน่งที่ 3,Pin Academy
ณัฐสิมา ดีแกง,2567,BUTTERFLY & SISB OPEN 2024,ประเภทหญิงเดี่ยวทั่วไป,ตำแหน่งที่ 3,Pin Academy
ณัฐสิมา ดีแกง,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 19 ปี ,ตำแหน่งที่ 3,Pin Academy
ณัฐสิมา ดีแกง,2566,King Cup 2023,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,King Cup 2023,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,King Cup 2023,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 19 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,King Cup 2023,ประเภทหญิงคู่,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,SET Table Tennis Club Championships 2023,ประเภททีมหญิงทั่วไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
ณัฐสิมา ดีแกง,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล C
ณัฐสิมา ดีแกง,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนหญิงอายุไม่เกิน  17 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
ณัฐสิมา ดีแกง,2566,All Thailand 2023 Circuit 1,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,All Thailand 2023 Circuit 1,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,All Thailand 2023 Circuit 2,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,All Thailand 2023 Circuit 2,ประเภทหญิงเดี่ยวทั่วไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,All Thailand 2023 Circuit 2,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,All Thailand 2023 Circuit 2,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 19 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,All Thailand 2023 Circuit 3,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,All Thailand 2023 Circuit 3,ประเภทหญิงคู่,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,All Thailand 2023 Circuit 3,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2566,BUTTERFLY & SISB OPEN 2023,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,Pin Academy
ณัฐสิมา ดีแกง,2566,BUTTERFLY & SISB OPEN 2023,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 19 ปี ,ตำแหน่งที่ 3,Pin Academy
ณัฐสิมา ดีแกง,2565,King Cup 2022,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
ณัฐสิมา ดีแกง,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน  17 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ณัฐสิมา ดีแกง,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน  15 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ณัฐสิมา ดีแกง,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนหญิงอายุไม่เกิน  19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
ณัฐสิมา ดีแกง,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนหญิงอายุไม่เกิน  17 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ณัฐสิมา ดีแกง,2565,All Thailand 2022 Circuit 1,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2565,All Thailand 2022 Circuit 2,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2565,All Thailand 2022 Circuit 2,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2565,All Thailand 2022 Circuit 3,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2565,All Thailand 2022 Circuit 3,ประเภทหญิงเดี่ยวทั่วไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2565,All Thailand 2022 Circuit 3,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2565,All Thailand 2022 Circuit 3,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2565,Chonburi PAO Table Tennis Open 2022,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,Pin Pingpong Bearing 30
ณัฐสิมา ดีแกง,2565,Chonburi PAO Table Tennis Open 2022,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 19 ปี ,รองชนะเลิศ,Pin Pingpong Bearing 30
ณัฐสิมา ดีแกง,2565,BBG PRINCESS CUP 2022,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2564,King Cup 2021,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2564,King Cup 2021,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัฐสิมา ดีแกง,2564,King Cup 2021,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัติวัชร์ ไกรสิทธิรัศม์,2568,All Thailand 2025 Circuit 1,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณัติวัชร์ ไกรสิทธิรัศม์,2568,CHIANG RAI OPEN 2025,ประเภทเยาวชนชายคู่อายุ 12 - 17 ปี,รองชนะเลิศ,Pin Academy
ณิชกานต์ สุขแพทย์,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล C
ณิชกานต์ สุขแพทย์,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล C
ณิชกานต์ สุขแพทย์,2566,Loei Table Tennis Open 2023,ประเภทหญิงเดี่ยวทั่วไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ณิชกานต์ สุขแพทย์,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน  17 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล C
ณิชคุณ แก้วเกิด,2566,Chonburi PAO Table Tennis Open 2023,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 9 ปี ,ตำแหน่งที่ 3,Damnoen Saduak
ณิชพัชร์ บุณยรักษ์,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนหญิงอายุไม่เกิน 9 ปี,ตำแหน่งที่ 3,เมืองทอง B
ดนุสรณ์ ชาญวลิชล,2568,CHIANG RAI OPEN 2025,ประเภทชายคู่,ตำแหน่งที่ 3,มหาวิทยาลัยธนบุรี
ดรุณี ผ่องสุวรรณ,2567,Master Table Tennis 2024 Circuit 3,ประเภทหญิงเดี่ยวอายุ 65 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ดลฤดี ตรีรัตนวารีสิน,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู 1
ดังตฤณ จุงจิตร์,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,เมืองทอง A
ดังตฤณ จุงจิตร์,2567,M - Sport Hopes & Kids Table Tennis Club Championships 2024,ประเภททีมยุวชนชายอายุไม่เกิน 11  ปี,ตำแหน่งที่ 3,เมืองทอง A
ดังตฤณ จุงจิตร์,2567,M - Sport Hopes & Kids Table Tennis Club Championships 2024,ประเภททีมยุวชนชายอายุไม่เกิน 9  ปี,ตำแหน่งที่ 3,เมืองทอง A
ดังตฤณ จุงจิตร์,2567,Hopes And Kids 2024 Circuit 1,ประเภทยุวชนชายเดี่ยวอายุไม่เกิน 9 ปี,รองชนะเลิศ,เมืองทอง
ดังตฤณ จุงจิตร์,2567,Hopes And Kids 2024 Circuit 2,ประเภทยุวชนชายเดี่ยวอายุไม่เกิน 9 ปี,ตำแหน่งที่ 3,เมืองทอง
ดังตฤณ จุงจิตร์,2567,Hopes And Kids 2024 Circuit 2,ประเภทยุวชนชายคู่อายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,เมืองทอง
ดังตฤณ จุงจิตร์,2567,Hopes And Kids 2024 Circuit 3,ประเภทยุวชนชายเดี่ยวอายุไม่เกิน 9 ปี,ตำแหน่งที่ 3,เมืองทอง
ดังตฤณ จุงจิตร์,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 9 ปี ,รองชนะเลิศ,เมืองทอง
ดังตฤณ จุงจิตร์,2567,Chonburi PAO Table Tennis Open 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 9 ปี ,รองชนะเลิศ,เมืองทอง
ดังตฤณ จุงจิตร์,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 9 ปี ,ตำแหน่งที่ 3,เมืองทอง
ดังตฤณ จุงจิตร์,2567,ฮั่วเคี้ยวขอนแก่น แชมป์เปี้ยนชิพ ครั้งที่ 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 9 ปี ,ตำแหน่งที่ 3,เมืองทอง
ดังตฤณ จุงจิตร์,2567,SPRC - CALTEX SUPER CUP 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 9 ปี ,รองชนะเลิศ,เมืองทอง
ดำรงค์ศักดิ์ หนองขอม,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทชายคู่อายุ 40 ปีขึ้นไป,ตำแหน่งที่ 3,NCN TABLE TENNIS
ดิฐรัช โกศลานันท์,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 11 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ A
ตรัยพงศ์ อาวุธโสภาภูรี,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 40 – 49 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ M402
ตรีรัตน์ ศักดิ์ชลาธร,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
ตรีรัตน์ ศักดิ์ชลาธร,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน  15 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
ตรีรัตน์ ศักดิ์ชลาธร,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนหญิงอายุไม่เกิน 15 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
ติณณ์ปวัฒน์ โชตโภคทวีกุล,2567,SET Table Tennis Club Championships 2024,ประเภททีมชายทั่วไป,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ A
เตชนต แพทยานันท์,2566,Master Table Tennis Club Championships 2023,ประเภททีมหญิงอายุ 50 – 59 ปี,ตำแหน่งที่ 3,ITC GLOBAL M502
เตชินี อรชร,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนหญิงอายุไม่เกิน  13 ปี,ตำแหน่งที่ 3,เมืองทอง B
เตวิช กิ่งแก้วเจริญชัย,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 13 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
เตือนใจ สร้อยสนธิ์,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทหญิงเดี่ยวอายุ 70 ปี ขึ้นไป ,ตำแหน่งที่ 3,Magic Pingpong
ถิรคุณ จันทร์วิทัน,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนชายอายุไม่เกิน   15 ปี,รองชนะเลิศ,ไทยรุ่ง A
ถิรวัฒน์ ชาญวิทย์วัฒนกิจ,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 13 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล B
ทชภณ ช่างประดิษฐ์,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 17 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
ทชภณ ช่างประดิษฐ์,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 15 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
ทชภณ ช่างประดิษฐ์,2568,All Thailand 2025 Circuit 2,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2568,All Thailand 2025 Circuit 2,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2568,All Thailand 2025 Circuit 3,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
